,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,27.0
legato,1.0,0.8148148148148148,0.8979591836734694,27.0
tapping,0.8709677419354839,1.0,0.9310344827586207,27.0
sweep picking,1.0,1.0,1.0,12.0
vibrato,1.0,0.8888888888888888,0.9411764705882353,18.0
hammer on,0.875,0.3888888888888889,0.5384615384615384,18.0
pull off,0.5483870967741935,0.9444444444444444,0.6938775510204082,18.0
slide,1.0,1.0,1.0,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.8961748633879781,0.8961748633879781,0.8961748633879781,0.8961748633879781
macro avg,0.9215949820788532,0.8930041152263376,0.8891676918335859,183.0
weighted avg,0.9242464304600739,0.8961748633879781,0.8934760058739329,183.0
